,Quarter,Tm,Detail,GNB,MIN
0,2.0,Packers,Gerry Ellis 1 yard rush (Tom Birney kick),7,0
1,2.0,Vikings,Rick Danmeier 22 yard field goal,7,3
2,2.0,Packers,Tom Birney 24 yard field goal,10,3
3,2.0,Vikings,Rick Danmeier 23 yard field goal,10,6
4,3.0,Packers,Aundra Thompson 35 yard pass from Lynn Dickey,16,6
5,3.0,Vikings,Ted Brown 5 yard rush (Rick Danmeier kick),16,13
6,4.0,Packers,Tom Birney 33 yard field goal,19,13
7,4.0,Packers,Eddie Lee Ivery 38 yard rush,25,13
