,Quarter,Tm,Detail,OAK,SDG
0,1.0,Chargers,Mike Mercer 48 yard field goal,0,3
1,1.0,Raiders,George Blanda 28 yard field goal,3,3
2,2.0,Chargers,Gary Garrison 2 yard pass from John Hadl (Mike Mercer kick),3,10
3,2.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),10,10
4,2.0,Raiders,Fred Biletnikoff 23 yard pass from Daryle Lamonica (George Blanda kick),17,10
5,2.0,Raiders,George Blanda 13 yard field goal,20,10
6,3.0,Chargers,Mike Mercer 39 yard field goal,20,13
7,4.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),27,13
8,4.0,Chargers,Jeff Queen 65 yard pass from John Hadl (Mike Mercer kick),27,20
9,4.0,Chargers,Lance Alworth 37 yard pass from John Hadl (Mike Mercer kick),27,27
