,Quarter,Tm,Detail,RAM,CRD
0,1.0,Rams,Lou Zontini 27 yard field goal,3,0
1,2.0,Rams,Mike Kabealo 6 yard rush (Walter West kick),10,0
2,2.0,Rams,Jim Benton 10 yard pass from Tom Colella,16,0
3,2.0,Cards/Steelers,Elbie Schultz 18 yard kickoff return (Conway Baker kick),16,7
4,3.0,Cards/Steelers,Ed Rucinski 40 yard pass from Coley McDonough (Conway Baker kick),16,14
5,3.0,Cards/Steelers,John Grigas 3 yard rush (Conway Baker kick),16,21
6,4.0,Rams,Jim Benton 18 yard pass from Tom Colella (Walter West kick),23,21
7,4.0,Cards/Steelers,Johnny Butler 67 yard pass from Coley McDonough (Conway Baker kick),23,28
8,4.0,Rams,Jim Benton 5 yard pass from Albie Reisz (Walter West kick),30,28
