,Quarter,Tm,Detail,CIN,DAL
0,1.0,Bengals,James Brooks 51 yard rush (Jim Breech kick),7,0
1,1.0,Cowboys,Roger Ruzek 44 yard field goal,7,3
2,2.0,Bengals,Rodney Holman 20 yard pass from Boomer Esiason (Jim Breech kick),14,3
3,2.0,Bengals,Jim Breech 41 yard field goal,17,3
4,2.0,Bengals,Rodney Holman 5 yard pass from Boomer Esiason (Jim Breech kick),24,3
5,3.0,Cowboys,Herschel Walker 11 yard rush (Roger Ruzek kick),24,10
6,3.0,Bengals,James Brooks 13 yard pass from Boomer Esiason (Jim Breech kick),31,10
7,4.0,Bengals,Ickey Woods 10 yard rush (Jim Breech kick),38,10
8,4.0,Cowboys,Ray Alexander 6 yard pass from Steve Pelluer (Roger Ruzek kick),38,17
9,4.0,Cowboys,Thornton Chandler 1 yard pass from Steve Pelluer (Roger Ruzek kick),38,24
