,Quarter,Time,Tm,Detail,CAR,IND
0,1.0,,Panthers,John Kasay 44 yard field goal,3,0
1,1.0,,Colts,Mike Vanderjagt 22 yard field goal,3,3
2,2.0,,Colts,Mike Vanderjagt 28 yard field goal,3,6
3,2.0,,Colts,Marcus Pollard 44 yard pass from Peyton Manning (Mike Vanderjagt kick),3,13
4,2.0,0:28,Panthers,John Kasay 27 yard field goal,6,13
5,2.0,0:06,Colts,Mike Vanderjagt 47 yard field goal,6,16
6,3.0,15:00,Panthers,Michael Bates 99 yard kickoff return (John Kasay kick),13,16
7,3.0,15:00,Panthers,Tim Biakabutuka 5 yard rush (John Kasay kick),20,16
8,3.0,15:00,Colts,Mike Vanderjagt 42 yard field goal,20,19
9,4.0,15:00,Panthers,Rocket Ismail 5 yard pass from Steve Beuerlein (John Kasay kick),27,19
