,Quarter,Time,Tm,Detail,TEN,BAL
0,1.0,6:10,Titans,Al Del Greco 39 yard field goal,3,0
1,1.0,3:12,Ravens,Patrick Johnson 76 yard pass from Tony Banks (Matt Stover kick),3,7
2,2.0,11:42,Ravens,Jermaine Lewis 6 yard pass from Tony Banks (Matt Stover kick),3,14
3,2.0,7:23,Titans,Eddie George 3 yard rush (Jackie Harris run),11,14
4,2.0,4:22,Ravens,Matt Stover 21 yard field goal,11,17
5,2.0,0:08,Titans,Al Del Greco 33 yard field goal,14,17
6,3.0,9:18,Ravens,Justin Armour 1 yard pass from Tony Banks (Matt Stover kick),14,24
7,4.0,9:14,Ravens,Matt Stover 27 yard field goal,14,27
8,4.0,6:02,Ravens,Jermaine Lewis 39 yard pass from Tony Banks (Matt Stover kick),14,34
9,4.0,4:12,Ravens,Rod Woodson 47 yard interception return (Matt Stover kick),14,41
