,Quarter,Time,Tm,Detail,DAL,CAR
0,1.0,,Cowboys,Chris Boniol 22 yard field goal,3,0
1,1.0,,Panthers,Wesley Walls 1 yard pass from Kerry Collins (John Kasay kick),3,7
2,2.0,,Panthers,Willie Green 10 yard pass from Kerry Collins (John Kasay kick),3,14
3,2.0,,Cowboys,Daryl Johnston 2 yard pass from Troy Aikman (pass failed),9,14
4,2.0,,Cowboys,"Safety, Carolina bad snap on punt went out of end zone",11,14
5,2.0,,Panthers,John Kasay 24 yard field goal,11,17
6,3.0,,Cowboys,Chris Boniol 21 yard field goal,14,17
7,3.0,,Panthers,John Kasay 40 yard field goal,14,20
8,4.0,,Panthers,John Kasay 40 yard field goal,14,23
9,4.0,,Cowboys,Chris Boniol 21 yard field goal,17,23
10,4.0,,Panthers,John Kasay 32 yard field goal,17,26
