,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,George Young 47 yard fumble return (Lou Groza kick),0,7
1,2.0,Browns,Ken Carpenter 1 yard rush (Lou Groza kick),0,14
2,3.0,Browns,Lou Groza 27 yard field goal,0,17
3,3.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),0,24
4,3.0,Browns,Emerson Cole 9 yard rush (Lou Groza kick),0,31
5,4.0,Browns,Don Phelps 13 yard rush (Lou Groza kick),0,38
6,4.0,Browns,Bob Oristaglio 20 yard pass from Cliff Lewis (Lou Groza kick),0,45
