,Quarter,Tm,Detail,COL,CLI
0,3.0,Indians,Scotty Bierce unknown yard pass from Doug Roby,0,6
1,4.0,Tigers,Gus Tebell unknown yard field goal,3,6
2,4.0,Indians,Stan Keck 46 yard field goal,3,9
