,Quarter,Time,Tm,Detail,DEN,OAK
0,1.0,,Raiders,James Jett 14 yard pass from Jeff George (Cole Ford kick),0,7
1,1.0,,Broncos,Terrell Davis 2 yard rush (Jason Elam kick),7,7
2,2.0,,Raiders,Rickey Dudley 5 yard pass from Jeff George (Cole Ford kick),7,14
3,2.0,,Broncos,Jason Elam 44 yard field goal,10,14
4,3.0,,Broncos,Terrell Davis 3 yard rush (Jason Elam kick),17,14
5,3.0,,Raiders,Eric Turner 65 yard defensive fumble return (Cole Ford kick),17,21
6,4.0,,Raiders,Napoleon Kaufman 83 yard rush (Cole Ford kick),17,28
7,4.0,,Broncos,Ed McCaffrey 28 yard pass from John Elway (Terrell Davis run),25,28
