,Quarter,Tm,Detail,CHI,HOU
0,1.0,Oilers,Toni Fritsch 29 yard field goal,0,3
1,2.0,Oilers,Ken Burrough 85 yard pass from Dan Pastorini (Toni Fritsch kick),0,10
2,2.0,Oilers,Billy Johnson 61 yard rush (Toni Fritsch kick),0,17
3,3.0,Oilers,Don Hardeman 1 yard rush (Toni Fritsch kick),0,24
4,3.0,Oilers,Ken Burrough 43 yard pass from Dan Pastorini (Toni Fritsch kick),0,31
5,4.0,Oilers,Gregg Bingham 34 yard defensive fumble return (Toni Fritsch kick),0,38
6,4.0,Oilers,"Safety, Young tackled Phipps in end zone",0,40
7,4.0,Oilers,Billy Johnson 75 yard kickoff return (Toni Fritsch kick),0,47
