,Quarter,Tm,Detail,ATL,NWE
0,1.0,Falcons,Bill Bell 38 yard field goal,3,0
1,2.0,Falcons,Bill Bell 21 yard field goal,6,0
2,2.0,Patriots,Josh Ashton 4 yard rush (Mike Walker kick),6,7
3,3.0,Falcons,Art Malone 1 yard rush (Bill Bell kick),13,7
4,3.0,Falcons,Dave Hampton 1 yard rush (Bill Bell kick),20,7
5,4.0,Patriots,Randy Vataha 37 yard pass from Jim Plunkett (Mike Walker kick),20,14
6,4.0,Patriots,Carl Garrett 12 yard rush (Mike Walker kick),20,21
