,Quarter,Tm,Detail,GNB,STL
0,2.0,Cardinals,Jim Bakken 42 yard field goal,0,3
1,2.0,Cardinals,Jim Bakken 21 yard field goal,0,6
2,2.0,Cardinals,Jim Bakken 12 yard field goal,0,9
3,2.0,Packers,Tim Webster 28 yard field goal,3,9
4,3.0,Packers,Tim Webster 12 yard field goal,6,9
5,4.0,Packers,Dave Hampton 2 yard rush (Tim Webster kick),13,9
6,4.0,Cardinals,Mel Gray 57 yard pass from Jim Hart (Jim Bakken kick),13,16
7,4.0,Packers,Tim Webster 27 yard field goal,16,16
