,Quarter,Tm,Detail,PHI,WAS
0,1.0,Redskins,Joe Aguirre 35 yard field goal,0,3
1,2.0,Eagles,Steve Van Buren 15 yard rush (Roy Zimmerman kick),7,3
2,2.0,Redskins,Sal Rosato 1 yard rush (Joe Aguirre kick),7,10
3,3.0,Redskins,Frank Akins 5 yard rush (Joe Aguirre kick),7,17
4,4.0,Redskins,Frank Akins 3 yard rush (Joe Aguirre kick),7,24
5,4.0,Eagles,Steve Van Buren 3 yard rush (Roy Zimmerman kick),14,24
