,Quarter,Time,Tm,Detail,ARI,WAS
0,2,,Redskins,Brian Mitchell 46 yard pass from Heath Shuler (Chip Lohmiller kick),0,7
1,2,,Redskins,Darrell Green 27 yard interception return (Chip Lohmiller kick),0,14
2,2,,Cardinals,Todd Peterson 35 yard field goal,3,14
3,4,,Cardinals,Ronald Moore 10 yard rush (run failed),9,14
4,4,10:48,Redskins,"Safety, Feagles stepped out of end zone",9,16
5,4,10:48,Cardinals,Ricky Proehl 5 yard pass from Steve Beuerlein (Todd Peterson kick),16,16
6,OT,5:45,Cardinals,Todd Peterson 29 yard field goal,19,16
