,Quarter,Time,Tm,Detail,NOR,BUF
0,1.0,0:32,Bills,Jake Arians 37 yard field goal,0,3
1,2.0,8:27,Bills,Jake Arians 22 yard field goal,0,6
2,3.0,11:02,Saints,Albert Connell 46 yard pass from Aaron Brooks (John Carney kick),7,6
3,3.0,6:48,Saints,John Carney 31 yard field goal,10,6
4,3.0,2:50,Saints,Cam Cleeland 12 yard pass from Aaron Brooks (John Carney kick),17,6
5,4.0,3:02,Saints,Ricky Williams 19 yard pass from Aaron Brooks (John Carney kick),24,6
