,Quarter,Time,Tm,Detail,KAN,NWE
0,1.0,9:05,Chiefs,Harrison Butker 42 yard field goal,3,0
1,1.0,5:18,Patriots,Stephen Gostkowski 48 yard field goal,3,3
2,1.0,4:57,Patriots,Sony Michel 4 yard rush (Stephen Gostkowski kick),3,10
3,1.0,3:25,Chiefs,Harrison Butker 43 yard field goal,6,10
4,2.0,12:52,Patriots,Julian Edelman 17 yard pass from Tom Brady (Stephen Gostkowski kick),6,17
5,2.0,6:21,Chiefs,Harrison Butker 24 yard field goal,9,17
6,2.0,1:57,Patriots,Sony Michel 1 yard rush (Stephen Gostkowski kick),9,24
7,3.0,13:27,Chiefs,Kareem Hunt 67 yard pass from Patrick Mahomes (Harrison Butker kick),16,24
8,3.0,7:17,Patriots,Stephen Gostkowski 24 yard field goal,16,27
9,3.0,3:36,Chiefs,Harrison Butker 30 yard field goal,19,27
10,3.0,0:56,Chiefs,Tyreek Hill 14 yard pass from Patrick Mahomes (Harrison Butker kick),26,27
11,4.0,10:22,Patriots,Stephen Gostkowski 39 yard field goal,26,30
12,4.0,8:38,Chiefs,Tyreek Hill 1 yard pass from Patrick Mahomes (Harrison Butker kick),33,30
13,4.0,5:25,Patriots,Tom Brady 4 yard rush (Stephen Gostkowski kick),33,37
14,4.0,3:15,Patriots,Stephen Gostkowski 50 yard field goal,33,40
15,4.0,3:03,Chiefs,Tyreek Hill 75 yard pass from Patrick Mahomes (Harrison Butker kick),40,40
16,4.0,0:00,Patriots,Stephen Gostkowski 28 yard field goal,40,43
