,Quarter,Time,Tm,Detail,PHI,WAS
0,1,6:51,Redskins,Brett Conway 43 yard field goal,0,3
1,2,8:02,Redskins,Mike Sellers 6 yard pass from Brad Johnson (Brett Conway kick),0,10
2,2,2:59,Eagles,Norm Johnson 34 yard field goal,3,10
3,3,11:32,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),3,17
4,4,11:47,Eagles,Luther Broughton 3 yard pass from Donovan McNabb (Norm Johnson kick),10,17
5,4,1:52,Eagles,Luther Broughton 26 yard pass from Donovan McNabb (Norm Johnson kick),17,17
6,OT,10:26,Redskins,Brett Conway 27 yard field goal,17,20
