,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Bobby Layne 27 yard field goal,0,3
1,1.0,49ers,John Henry Johnson 2 yard rush (Gordie Soltau kick),7,3
2,2.0,Lions,Don McIlhenny 3 yard rush (Bobby Layne kick),7,10
3,2.0,49ers,Gordie Soltau 20 yard field goal,10,10
4,3.0,49ers,John Henry Johnson 1 yard rush (Gordie Soltau kick),17,10
5,3.0,Lions,Bobby Layne 2 yard rush (Bobby Layne kick),17,17
6,4.0,Lions,Bobby Layne 17 yard field goal,17,20
