,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,Tom Dempsey 39 yard field goal,0,3
1,1.0,Rams,Cullen Bryant 3 yard rush (Tom Dempsey kick),0,10
2,2.0,Rams,John Cappelletti 1 yard rush (Tom Dempsey kick),0,17
3,2.0,Rams,Cullen Bryant 1 yard rush (Tom Dempsey kick),0,24
4,3.0,Saints,Larry Burton 15 yard pass from Archie Manning (Rich Szaro kick),7,24
5,4.0,Rams,Bob Klein 3 yard pass from James Harris (Tom Dempsey kick),7,31
6,4.0,Rams,Rob Scribner 22 yard rush (Tom Dempsey kick),7,38
7,4.0,Saints,Rod McNeill 1 yard rush (Rich Szaro kick),14,38
