,Quarter,Time,Tm,Detail,NWE,KAN
0,1.0,10:11,Chiefs,Harrison Butker 23 yard field goal,0,3
1,1.0,0:18,Chiefs,Harrison Butker 39 yard field goal,0,6
2,2.0,9:36,Patriots,Nick Folk 43 yard field goal,3,6
3,3.0,0:49,Chiefs,Tyreek Hill 6 yard pass from Patrick Mahomes (Harrison Butker kick),3,13
4,4.0,13:50,Patriots,N'Keal Harry 4 yard pass from Jarrett Stidham (Nick Folk kick),10,13
5,4.0,9:01,Chiefs,Mecole Hardman 6 yard pass from Patrick Mahomes (Harrison Butker kick failed),10,19
6,4.0,8:57,Chiefs,Tyrann Mathieu 25 yard interception return (Harrison Butker kick),10,26
