,Quarter,Time,Tm,Detail,GNB,STL
0,1.0,9:39,Packers,Ryan Grant 1 yard rush (Mason Crosby kick),7,0
1,1.0,1:11,Rams,Torry Holt 4 yard pass from Marc Bulger (Jeff Wilkins kick),7,7
2,2.0,14:15,Packers,Donald Lee 4 yard pass from Brett Favre (Mason Crosby kick),14,7
3,2.0,10:09,Rams,Steven Jackson 46 yard rush (Jeff Wilkins kick),14,14
4,2.0,3:54,Packers,Mason Crosby 44 yard field goal,17,14
5,3.0,10:21,Packers,Mason Crosby 50 yard field goal,20,14
6,3.0,5:58,Packers,Greg Jennings 44 yard pass from Brett Favre (Mason Crosby kick),27,14
7,4.0,11:22,Packers,Mason Crosby 25 yard field goal,30,14
8,4.0,3:43,Packers,Mason Crosby 46 yard field goal,33,14
