,Quarter,Tm,Detail,HOU,KAN
0,1.0,Chiefs,Nick Lowery 47 yard field goal,0,3
1,2.0,Chiefs,Carlos Carson 29 yard pass from Todd Blackledge (Nick Lowery kick),0,10
2,2.0,Chiefs,Nick Lowery 45 yard field goal,0,13
3,3.0,Chiefs,Herman Heard 11 yard rush (Nick Lowery kick),0,20
4,3.0,Chiefs,Greg Hill 26 yard interception return (Nick Lowery kick),0,27
5,3.0,Oilers,Jeff Donaldson defensive fumble recovery in end zone (Tony Zendejas kick),7,27
6,4.0,Oilers,Warren Moon 1 yard rush,13,27
