,Quarter,Tm,Detail,SDG,RAI
0,1.0,Chargers,John Carney 42 yard field goal,3,0
1,2.0,Chargers,John Carney 23 yard field goal,6,0
2,2.0,Chargers,Anthony Miller 14 yard pass from Stan Humphries (John Carney kick),13,0
3,2.0,Chargers,Nate Lewis 50 yard pass from Stan Humphries (John Carney kick),20,0
4,2.0,Chargers,John Carney 25 yard field goal,23,0
5,3.0,Chargers,John Carney 28 yard field goal,26,0
6,3.0,Raiders,Alexander Wright 21 yard pass from Vince Evans (Jeff Jaeger kick),26,7
7,4.0,Chargers,Eric Bieniemy 1 yard rush (John Carney kick),33,7
8,4.0,Raiders,Tim Brown 5 yard pass from Vince Evans (Jeff Jaeger kick),33,14
9,4.0,Chargers,John Carney 23 yard field goal,36,14
