,Quarter,Tm,Detail,NWE,MIA
0,1.0,Patriots,Charlie Baumann 44 yard field goal,3,0
1,1.0,Dolphins,Mark Clayton 31 yard pass from Dan Marino (Pete Stoyanovich kick),3,7
2,2.0,Dolphins,Fred Banks 5 yard pass from Dan Marino (Pete Stoyanovich kick),3,14
3,2.0,Dolphins,Pete Stoyanovich 21 yard field goal,3,17
4,2.0,Patriots,Charlie Baumann 37 yard field goal,6,17
5,3.0,Dolphins,Pete Stoyanovich 42 yard field goal,6,20
6,3.0,Patriots,Irving Fryar 40 yard pass from Hugh Millen (Charlie Baumann kick),13,20
7,4.0,Patriots,Marv Cook 5 yard pass from Hugh Millen (Charlie Baumann kick),20,20
8,4.0,Dolphins,Mark Clayton 32 yard pass from Dan Marino (Pete Stoyanovich kick),20,27
9,4.0,Dolphins,Pete Stoyanovich 44 yard field goal,20,30
