,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Joe Arenas 17 yard rush (Gordie Soltau kick),0,7
1,1.0,49ers,Billy Wilson 19 yard pass from Y.A. Tittle (Gordie Soltau kick),0,14
2,1.0,Bears,Bill McColl 7 yard pass from George Blanda (George Blanda kick),7,14
3,2.0,Bears,Billy Stone 12 yard rush (George Blanda kick),14,14
4,2.0,49ers,Hugh McElhenny 8 yard rush (Gordie Soltau kick),14,21
5,4.0,49ers,Gordie Soltau 20 yard field goal,14,24
