,Quarter,Tm,Detail,SEA,HOU
0,2.0,Oilers,Dave Casper 19 yard pass from Gifford Nielsen (Florian Kempf kick),0,7
1,2.0,Seahawks,Byron Walker 40 yard pass from Dave Krieg (Norm Johnson kick),7,7
2,3.0,Oilers,Florian Kempf 24 yard field goal,7,10
3,3.0,Oilers,Mike Reinfeldt defensive fumble recovery in end zone (Florian Kempf kick),7,17
4,4.0,Seahawks,Theotis Brown 3 yard rush (Norm Johnson kick),14,17
5,4.0,Seahawks,David Hughes 29 yard pass from Jim Zorn (Norm Johnson kick),21,17
6,4.0,Oilers,Earl Campbell 12 yard rush,21,23
