,Quarter,Time,Tm,Detail,CIN,PIT
0,1.0,13:33,Bengals,Darnay Scott 76 yard pass from Jeff Blake (Doug Pelfrey kick),7,0
1,1.0,8:04,Bengals,Jeff Blake 4 yard rush (Doug Pelfrey kick),14,0
2,1.0,1:21,Steelers,Kris Brown 35 yard field goal,14,3
3,2.0,13:30,Bengals,Rodney Heath 58 yard interception return (Doug Pelfrey kick),21,3
4,2.0,10:33,Bengals,Doug Pelfrey 29 yard field goal,24,3
5,2.0,5:43,Steelers,Kris Brown 33 yard field goal,24,6
6,2.0,1:53,Steelers,Bobby Shaw 15 yard pass from Mike Tomczak (Kris Brown kick),24,13
7,3.0,13:32,Steelers,Hines Ward 34 yard pass from Mike Tomczak (Kris Brown kick),24,20
8,3.0,9:44,Bengals,Doug Pelfrey 29 yard field goal,27,20
