,Quarter,Tm,Detail,DEN,CLE
0,1.0,Broncos,Fred Steinfort 18 yard field goal,3,0
1,1.0,Browns,Don Cockroft 24 yard field goal,3,3
2,2.0,Broncos,Fred Steinfort 47 yard field goal,6,3
3,2.0,Browns,Reggie Rucker 40 yard pass from Brian Sipe (Don Cockroft kick),6,10
4,2.0,Broncos,Randy Gradishar 93 yard interception return (Fred Steinfort kick),13,10
5,2.0,Browns,Don Cockroft 45 yard field goal,13,13
6,3.0,Broncos,Fred Steinfort 41 yard field goal,16,13
7,3.0,Browns,Don Cockroft 40 yard field goal,16,16
8,4.0,Broncos,Fred Steinfort 19 yard field goal,19,16
