,Quarter,Tm,Detail,RAM,ATL
0,1.0,Falcons,Mick Luckhurst 23 yard field goal,0,3
1,2.0,Rams,Mike Young 18 yard pass from Steve Bartkowski (Mike Lansford kick),7,3
2,2.0,Falcons,Gerald Riggs 4 yard rush (Mick Luckhurst kick),7,10
3,3.0,Falcons,Mick Luckhurst 32 yard field goal,7,13
4,3.0,Falcons,Charlie Brown 22 yard pass from David Archer (Mick Luckhurst kick),7,20
5,4.0,Falcons,Mick Luckhurst 49 yard field goal,7,23
6,4.0,Rams,Eric Dickerson 1 yard rush (Mike Lansford kick),14,23
7,4.0,Falcons,Mick Luckhurst 41 yard field goal,14,26
