,Quarter,Time,Tm,Detail,MIA,OAK
0,1.0,9:38,Raiders,Brian Leonhardt 3 yard pass from Derek Carr (Sebastian Janikowski kick),0,7
1,1.0,6:25,Dolphins,Caleb Sturgis 41 yard field goal,3,7
2,2.0,14:17,Dolphins,Mike Wallace 13 yard pass from Ryan Tannehill (Caleb Sturgis kick),10,7
3,2.0,9:15,Dolphins,Lamar Miller 9 yard rush (Caleb Sturgis kick),17,7
4,2.0,1:53,Dolphins,Dion Sims 18 yard pass from Ryan Tannehill (Caleb Sturgis kick),24,7
5,3.0,8:13,Dolphins,Lamar Miller 1 yard rush (Caleb Sturgis kick),31,7
6,3.0,3:59,Dolphins,Cortland Finnegan 50 yard defensive fumble return (Caleb Sturgis kick),38,7
7,4.0,8:36,Raiders,Andre Holmes 22 yard pass from Matt McGloin (Sebastian Janikowski kick),38,14
