,Quarter,Tm,Detail,CIN,HOU
0,1.0,Bengals,Stanford Jennings 1 yard rush (Jim Breech kick),7,0
1,1.0,Oilers,Alonzo Highsmith 33 yard pass from Warren Moon (Tony Zendejas kick),7,7
2,2.0,Oilers,Warren Moon 1 yard rush (Tony Zendejas kick),7,14
3,2.0,Oilers,Alonzo Highsmith 1 yard rush (Tony Zendejas kick),7,21
4,3.0,Bengals,Mike Martin 25 yard pass from Boomer Esiason (Jim Breech kick),14,21
5,4.0,Bengals,Jim Breech 43 yard field goal,17,21
