,Quarter,Tm,Detail,MIA,DAL
0,1.0,Cowboys,Broderick Sargent 1 yard rush (Luis Zendejas kick),0,7
1,2.0,Dolphins,Pete Stoyanovich 23 yard field goal,3,7
2,2.0,Cowboys,Daryl Johnston 6 yard pass from Troy Aikman (Luis Zendejas kick),3,14
3,2.0,Dolphins,Andre Brown 48 yard pass from Dan Marino (Pete Stoyanovich kick),10,14
4,4.0,Dolphins,Sammie Smith 1 yard rush (Pete Stoyanovich kick),17,14
