,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,John Stallworth 43 yard pass from Mark Malone (Gary Anderson kick),0,7
1,2.0,Steelers,Mark Malone 13 yard rush (Gary Anderson kick),0,14
2,2.0,Steelers,John Stallworth 17 yard pass from Mark Malone (Gary Anderson kick),0,21
3,3.0,Steelers,John Stallworth 39 yard pass from Mark Malone (Gary Anderson kick),0,28
4,3.0,Steelers,Bryan Hinkle 21 yard defensive fumble return (Gary Anderson kick),0,35
5,3.0,Oilers,Jamie Williams 5 yard pass from Oliver Luck (Joe Cooper kick),7,35
