,Quarter,Time,Tm,Detail,ATL,ARI
0,1.0,9:30,Falcons,Calvin Ridley 9 yard pass from Matt Ryan (Matt Bryant kick),7,0
1,1.0,5:45,Cardinals,Zane Gonzalez 39 yard field goal,7,3
2,2.0,13:08,Cardinals,Chase Edmonds 2 yard pass from Kyler Murray (Zane Gonzalez kick),7,10
3,2.0,9:06,Cardinals,David Johnson 1 yard rush (Zane Gonzalez kick),7,17
4,2.0,3:41,Falcons,Matt Bryant 29 yard field goal,10,17
5,2.0,0:07,Cardinals,Zane Gonzalez 22 yard field goal,10,20
6,3.0,11:34,Cardinals,Maxx Williams 20 yard pass from Kyler Murray (Zane Gonzalez kick),10,27
7,3.0,7:51,Falcons,Matt Bryant 44 yard field goal,13,27
8,3.0,1:08,Falcons,Devonta Freeman 7 yard pass from Matt Ryan (Matt Bryant kick),20,27
9,4.0,10:56,Falcons,Austin Hooper 6 yard pass from Matt Ryan (Matt Bryant kick),27,27
10,4.0,5:18,Cardinals,David Johnson 14 yard pass from Kyler Murray (Zane Gonzalez kick),27,34
11,4.0,2:00,Falcons,Devonta Freeman 12 yard pass from Matt Ryan (Matt Bryant kick failed),33,34
