,Quarter,Tm,Detail,STL,NYG
0,1.0,Giants,Ernie Koy 13 yard pass from Fran Tarkenton (Pete Gogolak kick),0,7
1,2.0,Giants,Ernie Koy 1 yard rush (Pete Gogolak kick),0,14
2,3.0,Giants,Homer Jones 69 yard pass from Fran Tarkenton (Pete Gogolak kick),0,21
3,3.0,Giants,Pete Gogolak 21 yard field goal,0,24
4,3.0,Giants,Aaron Thomas 33 yard pass from Fran Tarkenton,0,30
5,4.0,Cardinals,Jackie Smith 20 yard pass from Jim Hart (Jim Bakken kick),7,30
6,4.0,Giants,Aaron Thomas 30 yard pass from Fran Tarkenton (Pete Gogolak kick),7,37
7,4.0,Cardinals,Roy Shivers 5 yard rush (Jim Bakken kick),14,37
