,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,9:08,Colts,Chase McLaughlin 20 yard field goal,3,0
1,1.0,6:22,Jaguars,Josh Lambo 20 yard field goal,3,3
2,1.0,0:47,Colts,Marlon Mack 5 yard rush (Chase McLaughlin kick),10,3
3,2.0,12:05,Jaguars,Josh Lambo 53 yard field goal,10,6
4,2.0,5:49,Jaguars,Keelan Cole 14 yard pass from Gardner Minshew II (Josh Lambo kick),10,13
5,2.0,2:16,Colts,Marlon Mack 8 yard rush (Chase McLaughlin kick),17,13
6,2.0,0:44,Colts,Chase McLaughlin 50 yard field goal,20,13
7,2.0,0:02,Jaguars,Josh Lambo 56 yard field goal,20,16
8,3.0,8:33,Jaguars,Ryquell Armstead 3 yard pass from Gardner Minshew II (Dede Westbrook pass from Gardner Minshew II),20,24
9,4.0,9:41,Jaguars,Calais Campbell 8 yard fumble return (Josh Lambo kick),20,31
10,4.0,4:49,Jaguars,Dede Westbrook 18 yard pass from Gardner Minshew II (Josh Lambo kick),20,38
