,Quarter,Time,Tm,Detail,DAL,NOR
0,1.0,,Saints,"Safety, Aikman penalized for intentional grounding in end zone",0,2
1,1.0,,Cowboys,Richie Cunningham 33 yard field goal,3,2
2,2.0,,Saints,Aaron Craver 4 yard pass from Kerry Collins (Doug Brien kick),3,9
3,2.0,2:00,Saints,Andre Hastings 89 yard pass from Kerry Collins (Doug Brien kick),3,16
4,2.0,0:04,Saints,Doug Brien 53 yard field goal,3,19
5,3.0,0:04,Saints,Doug Brien 53 yard field goal,3,22
