,Quarter,Time,Tm,Detail,NOR,MIN
0,1.0,,Vikings,Cris Carter 15 yard pass from Warren Moon (Fuad Reveiz kick),0,7
1,1.0,,Vikings,Amp Lee 2 yard pass from Warren Moon (Fuad Reveiz kick),0,14
2,2.0,,Vikings,Fuad Reveiz 37 yard field goal,0,17
3,2.0,,Vikings,Fuad Reveiz 20 yard field goal,0,20
4,2.0,,Saints,Quinn Early 13 yard pass from Jim Everett (Doug Brien kick),7,20
5,2.0,,Vikings,Qadry Ismail 77 yard pass from Warren Moon (Fuad Reveiz kick),7,27
6,2.0,,Vikings,Fuad Reveiz 19 yard field goal,7,30
7,3.0,,Saints,Doug Brien 30 yard field goal,10,30
8,3.0,,Vikings,Cris Carter 20 yard pass from Warren Moon (pass failed),10,36
9,4.0,,Vikings,Scottie Graham 2 yard rush (Fuad Reveiz kick),10,43
10,4.0,,Saints,Wesley Walls 2 yard pass from Jim Everett (Irv Smith pass from Jim Everett),18,43
11,4.0,,Saints,Quinn Early 47 yard pass from Jim Everett (pass failed),24,43
