,Quarter,Tm,Detail,PHI,PIT
0,1.0,Steelers,Gary Anderson 52 yard field goal,0,3
1,1.0,Steelers,Merril Hoge 13 yard pass from Louis Lipps (Gary Anderson kick),0,10
2,2.0,Eagles,Keith Byars 1 yard rush (Luis Zendejas kick),7,10
3,2.0,Steelers,Gary Anderson 21 yard field goal,7,13
4,2.0,Eagles,Randall Cunningham 7 yard rush (Luis Zendejas kick),14,13
5,2.0,Steelers,Gary Anderson 29 yard field goal,14,16
6,3.0,Eagles,Luis Zendejas 34 yard field goal,17,16
7,3.0,Steelers,Louis Lipps 89 yard pass from Bubby Brister (Gary Anderson kick),17,23
8,4.0,Eagles,Randall Cunningham 12 yard rush (Luis Zendejas kick),24,23
9,4.0,Steelers,Gary Anderson 41 yard field goal,24,26
10,4.0,Eagles,Luis Zendejas 18 yard field goal,27,26
