,Quarter,Time,Tm,Detail,BUF,IND
0,1.0,3:35,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),0,7
1,2.0,13:35,Bills,Steve Christie 36 yard field goal,3,7
2,2.0,3:15,Colts,Marvin Harrison 5 yard pass from Peyton Manning (Mike Vanderjagt kick),3,14
3,2.0,0:18,Bills,Steve Christie 29 yard field goal,6,14
4,3.0,7:23,Colts,Marvin Harrison 24 yard pass from Peyton Manning (Mike Vanderjagt kick),6,21
5,3.0,7:23,Bills,Andre Reed 6 yard pass from Doug Flutie (Jonathan Linton run),14,21
6,4.0,15:00,Colts,Mike Vanderjagt 35 yard field goal,14,24
7,4.0,3:35,Colts,Tony Blevins 74 yard interception return (Mike Vanderjagt kick),14,31
