,Quarter,Tm,Detail,IND,NWE
0,1.0,Patriots,Jason Staurovsky 44 yard field goal,0,3
1,1.0,Patriots,Jason Staurovsky 37 yard field goal,0,6
2,2.0,Colts,Dean Biasucci 18 yard field goal,3,6
3,3.0,Patriots,Jason Staurovsky 24 yard field goal,3,9
4,3.0,Colts,Albert Bentley 9 yard pass from Jack Trudeau (Dean Biasucci kick),10,9
5,4.0,Patriots,Jason Staurovsky 50 yard field goal,10,12
6,4.0,Patriots,Jason Staurovsky 23 yard field goal,10,15
7,4.0,Colts,Eric Dickerson 8 yard pass from Jack Trudeau,16,15
8,4.0,Patriots,John Stephens 10 yard rush (Jason Staurovsky kick),16,22
