,Quarter,Tm,Detail,BAL,HOU
0,1.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),0,7
1,2.0,Colts,Steve Mike-Mayer 30 yard field goal,3,7
2,2.0,Colts,Steve Mike-Mayer 23 yard field goal,6,7
3,2.0,Oilers,Rich Caster 3 yard pass from Ken Stabler (Toni Fritsch kick),6,14
4,2.0,Colts,Steve Mike-Mayer 29 yard field goal,9,14
5,3.0,Oilers,Rob Carpenter 1 yard rush (Toni Fritsch kick),9,21
6,4.0,Colts,Joe Washington 18 yard pass from Bert Jones (Steve Mike-Mayer kick),16,21
