,Quarter,Time,Tm,Detail,HOU,JAX
0,1.0,8:24,Texans,Ka'imi Fairbairn 52 yard field goal,3,0
1,2.0,5:58,Texans,Darren Fells 1 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),9,0
2,2.0,1:52,Jaguars,Josh Lambo 30 yard field goal,9,3
3,3.0,5:02,Texans,Ka'imi Fairbairn 42 yard field goal,12,3
4,3.0,0:38,Texans,Duke Johnson 1 yard rush (Ka'imi Fairbairn kick),19,3
5,4.0,4:22,Texans,DeAndre Hopkins 1 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),26,3
