,Quarter,Tm,Detail,ATL,NYJ
0,1.0,Falcons,Tom Geredine 38 yard pass from Bob Lee (Nick Mike-Mayer kick),7,0
1,1.0,Jets,Rich Caster 2 yard pass from Joe Namath (Bobby Howfield kick),7,7
2,2.0,Falcons,Eddie Ray 1 yard rush (Nick Mike-Mayer kick),14,7
3,2.0,Jets,Bobby Howfield 14 yard field goal,14,10
4,2.0,Jets,Bobby Howfield 24 yard field goal,14,13
5,2.0,Falcons,Louis Neal 47 yard pass from Bob Lee (Nick Mike-Mayer kick),21,13
6,3.0,Jets,Eddie Bell 38 yard pass from Joe Namath (Bobby Howfield kick),21,20
7,4.0,Falcons,Eddie Ray 1 yard rush (Nick Mike-Mayer kick),28,20
