,Quarter,Time,Tm,Detail,HOU,DAL
0,1.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),0,7
1,1.0,,Oilers,Al Del Greco 41 yard field goal,3,7
2,2.0,,Cowboys,Chris Boniol 45 yard field goal,3,10
3,2.0,,Oilers,Gary Brown 3 yard rush (Al Del Greco kick),10,10
4,2.0,,Cowboys,Chris Boniol 29 yard field goal,10,13
5,3.0,,Cowboys,Alvin Harper 53 yard pass from Troy Aikman (Chris Boniol kick),10,20
6,4.0,,Oilers,Gary Brown 2 yard rush (Al Del Greco kick),17,20
