,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Sweeny Williams 21 yard defensive fumble return (Chester Marcol kick),0,7
1,2.0,Bears,Mac Percival 12 yard field goal,3,7
2,2.0,Packers,Jon Staggers 48 yard pass from Scott Hunter (Chester Marcol kick),3,14
3,2.0,Packers,Chester Marcol 26 yard field goal,3,17
4,3.0,Bears,Cyril Pinder 2 yard rush (Mac Percival kick),10,17
5,4.0,Bears,Bobby Douglass 2 yard rush (Mac Percival kick),17,17
6,4.0,Packers,Chester Marcol 37 yard field goal,17,20
