,Quarter,Tm,Detail,BUF,OAK
0,1.0,Raiders,Cliff Branch 28 yard pass from Ken Stabler,0,6
1,1.0,Bills,Carson Long 33 yard field goal,3,6
2,1.0,Raiders,Fred Biletnikoff 44 yard pass from Ken Stabler (Errol Mann kick),3,13
3,2.0,Bills,John Kimbrough 29 yard pass from Joe Ferguson (Carson Long kick),10,13
4,2.0,Raiders,Pete Banaszak 1 yard rush (Errol Mann kick),10,20
5,3.0,Bills,Carson Long 40 yard field goal,13,20
6,3.0,Raiders,Cliff Branch 12 yard pass from Ken Stabler (Errol Mann kick),13,27
7,3.0,Raiders,Pete Banaszak 1 yard rush (Errol Mann kick),13,34
