,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Lionel Manuel 23 yard pass from Phil Simms (Ali Haji-Sheikh kick),0,7
1,1.0,Giants,Joe Morris 11 yard rush (Ali Haji-Sheikh kick),0,14
2,4.0,Giants,Joe Morris 8 yard rush (Ali Haji-Sheikh kick),0,21
