,Quarter,Tm,Detail,NWE,PHO
0,1.0,Cardinals,Anthony Thompson 5 yard rush (Al Del Greco kick),0,7
1,1.0,Patriots,John Stephens 18 yard pass from Tom Hodson (Jason Staurovsky kick),7,7
2,2.0,Cardinals,Timm Rosenbach 2 yard rush (Al Del Greco kick),7,14
3,2.0,Patriots,Marv Cook 22 yard pass from Tom Hodson (Jason Staurovsky kick),14,14
4,3.0,Cardinals,Al Del Greco 29 yard field goal,14,17
5,3.0,Cardinals,Timm Rosenbach 6 yard rush (Al Del Greco kick),14,24
6,4.0,Cardinals,Terrence Flagler 29 yard rush (Al Del Greco kick),14,31
7,4.0,Cardinals,Al Del Greco 50 yard field goal,14,34
