,Quarter,Tm,Detail,ATL,NOR
0,1.0,Saints,Morten Andersen 20 yard field goal,0,3
1,2.0,Saints,Morten Andersen 31 yard field goal,0,6
2,2.0,Saints,Morten Andersen 24 yard field goal,0,9
3,3.0,Falcons,Jessie Tuggle 69 yard special teams fumble return (Norm Johnson kick),7,9
4,4.0,Saints,Morten Andersen 26 yard field goal,7,12
5,4.0,Falcons,Michael Haynes 13 yard pass from Wade Wilson (Norm Johnson kick),14,12
6,4.0,Saints,Morten Andersen 37 yard field goal,14,15
7,4.0,Saints,Toi Cook 48 yard interception return (Morten Andersen kick),14,22
