,Quarter,Tm,Detail,CHI,NOR
0,2.0,Bears,Kevin Butler 39 yard field goal,3,0
1,2.0,Bears,Kevin Butler 30 yard field goal,6,0
2,3.0,Saints,Eric Martin 52 yard pass from Bobby Hebert (Morten Andersen kick),6,7
3,4.0,Saints,Wesley Carroll 72 yard pass from Bobby Hebert (Morten Andersen kick),6,14
4,4.0,Saints,Robert Goff 19 yard defensive fumble return (Morten Andersen kick),6,21
5,4.0,Saints,Reggie Jones 71 yard interception return (Morten Andersen kick),6,28
