,Quarter,Tm,Detail,NWE,ATL
0,1.0,Falcons,Steve Broussard 8 yard rush (Norm Johnson kick),0,7
1,1.0,Falcons,Drew Hill 10 yard pass from Billy Joe Tolliver (Norm Johnson kick),0,14
2,2.0,Falcons,Steve Broussard 18 yard pass from Billy Joe Tolliver (Norm Johnson kick),0,21
3,2.0,Falcons,Norm Johnson 26 yard field goal,0,24
4,3.0,Falcons,Tony Smith 29 yard rush (Norm Johnson kick),0,31
5,4.0,Falcons,Norm Johnson 54 yard field goal,0,34
