,Quarter,Tm,Detail,PIT,ATL
0,1.0,Steelers,Bennie Cunningham 18 yard pass from Terry Bradshaw (David Trout kick),7,0
1,2.0,Steelers,John Stallworth 6 yard pass from Terry Bradshaw (David Trout kick),14,0
2,2.0,Falcons,Alfred Jackson 35 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,7
3,3.0,Steelers,John Stallworth 19 yard pass from Terry Bradshaw (David Trout kick),21,7
4,3.0,Falcons,Mick Luckhurst 43 yard field goal,21,10
5,3.0,Steelers,Randy Grossman 14 yard pass from Terry Bradshaw,27,10
6,4.0,Falcons,Alfred Jenkins 30 yard pass from Steve Bartkowski (Mick Luckhurst kick),27,17
7,4.0,Steelers,Lynn Swann 22 yard pass from Terry Bradshaw (David Trout kick),34,17
8,4.0,Falcons,Mick Luckhurst 22 yard field goal,34,20
