,Quarter,Tm,Detail,NYG,NYY
0,3,Giants,Hinkey Haines 6 yard rush,6,0
1,4,Yankees,Gibby Welch 20 yard pass from Wild Bill Kelly (Bill Pritchard kick),6,7
