,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Dave Parks 10 yard pass from John Brodie (Tommy Davis kick),7,0
1,2.0,49ers,Gary Lewis 18 yard pass from John Brodie (Tommy Davis kick),14,0
2,2.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),21,0
3,2.0,Falcons,Taz Anderson 23 yard pass from Randy Johnson (Lou Kirouac kick),21,7
4,2.0,49ers,Tommy Davis 37 yard field goal,24,7
5,3.0,49ers,Jimmy Johnson 35 yard interception return (Tommy Davis kick),31,7
6,3.0,49ers,Jim Jackson 63 yard pass from John Brodie,37,7
7,4.0,49ers,Dick Witcher 8 yard pass from George Mira (Tommy Davis kick),44,7
