,Quarter,Tm,Detail,DEN,KAN
0,1.0,Chiefs,Tommy Reamon 3 yard rush (Jan Stenerud kick),0,7
1,1.0,Broncos,Otis Armstrong 16 yard rush (Jim Turner kick),7,7
2,1.0,Broncos,Haven Moses 7 yard pass from Steve Ramsey (Jim Turner kick),14,7
3,2.0,Chiefs,Walter White 3 yard pass from Mike Livingston (Jan Stenerud kick),14,14
4,2.0,Broncos,Rick Upchurch 55 yard punt return (Jim Turner kick),21,14
5,2.0,Chiefs,Jan Stenerud 48 yard field goal,21,17
6,3.0,Broncos,Jon Keyworth 2 yard rush (Jim Turner kick),28,17
7,3.0,Chiefs,Jan Stenerud 40 yard field goal,28,20
8,3.0,Broncos,Jack Dolbin 24 yard pass from Steve Ramsey (Jim Turner kick),35,20
9,4.0,Chiefs,MacArthur Lane 10 yard rush,35,26
