,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,,Bears,Raymont Harris 7 yard rush (Jeff Jaeger kick),0,7
1,1.0,,Lions,Jason Hanson 23 yard field goal,3,7
2,2.0,,Lions,Johnnie Morton 16 yard pass from Scott Mitchell (Jason Hanson kick),10,7
3,2.0,,Lions,Jason Hanson 33 yard field goal,13,7
4,3.0,,Lions,Jason Hanson 29 yard field goal,16,7
5,3.0,,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),23,7
6,4.0,,Lions,Herman Moore 27 yard pass from Scott Mitchell (pass failed),29,7
7,4.0,,Lions,Jason Hanson 32 yard field goal,32,7
