,Quarter,Tm,Detail,BAL,SEA
0,1.0,Colts,Glenn Doughty 12 yard pass from Bert Jones (Toni Linhart kick),7,0
1,1.0,Seahawks,David Sims 44 yard rush (Efren Herrera kick),7,7
2,2.0,Colts,Toni Linhart 22 yard field goal,10,7
3,4.0,Colts,Ron Lee 14 yard rush (Toni Linhart kick),17,7
4,4.0,Seahawks,David Sims 1 yard rush (Efren Herrera kick),17,14
