,Quarter,Tm,Detail,DEN,RAI
0,1.0,Raiders,Ethan Horton 9 yard pass from Jeff Hostetler (Jeff Jaeger kick),0,7
1,1.0,Broncos,Shannon Sharpe 23 yard pass from John Elway (Jason Elam kick),7,7
2,1.0,Raiders,Tim Brown 65 yard pass from Jeff Hostetler (Jeff Jaeger kick),7,14
3,2.0,Broncos,Reggie Johnson 16 yard pass from John Elway (Jason Elam kick),14,14
4,2.0,Raiders,James Jett 54 yard pass from Jeff Hostetler (Jeff Jaeger kick),14,21
5,2.0,Broncos,Derek Russell 6 yard pass from John Elway (Jason Elam kick),21,21
6,3.0,Raiders,Napoleon McCallum 26 yard rush (Jeff Jaeger kick),21,28
7,3.0,Raiders,Napoleon McCallum 2 yard rush (Jeff Jaeger kick),21,35
8,4.0,Broncos,Jason Elam 33 yard field goal,24,35
9,4.0,Raiders,Napoleon McCallum 1 yard rush (Jeff Jaeger kick),24,42
