,Quarter,Time,Tm,Detail,SFO,DEN
0,1.0,8:29,Broncos,Emmanuel Sanders 3 yard pass from Peyton Manning (Brandon McManus kick),0,7
1,1.0,2:57,Broncos,Wes Welker 39 yard pass from Peyton Manning (Brandon McManus kick),0,14
2,2.0,7:30,49ers,Phil Dawson 22 yard field goal,3,14
3,2.0,3:09,Broncos,Demaryius Thomas 8 yard pass from Peyton Manning (Brandon McManus kick),3,21
4,2.0,0:11,49ers,Steve Johnson 4 yard pass from Colin Kaepernick (Phil Dawson kick),10,21
5,3.0,11:48,Broncos,Demaryius Thomas 40 yard pass from Peyton Manning (Brandon McManus kick),10,28
6,3.0,9:24,Broncos,Ronnie Hillman 37 yard rush (Brandon McManus kick),10,35
7,3.0,1:36,Broncos,Ronnie Hillman 1 yard rush (Brandon McManus kick),10,42
8,4.0,1:00,49ers,Bruce Ellington 20 yard pass from Blaine Gabbert (Phil Dawson kick),17,42
