,Quarter,Time,Tm,Detail,STL,GNB
0,2.0,4:06,Rams,Isaac Bruce 23 yard pass from Chris Miller (Steve McLaughlin kick),7,0
1,3.0,4:06,Packers,Mark Chmura 7 yard pass from Brett Favre (Chris Jacke kick),7,7
2,3.0,4:06,Rams,Alexander Wright 30 yard pass from Chris Miller (Steve McLaughlin kick),14,7
3,4.0,4:06,Rams,Steve McLaughlin 19 yard field goal,17,7
4,4.0,4:06,Packers,Charles Jordan 11 yard pass from Brett Favre (Chris Jacke kick),17,14
