,Quarter,Tm,Detail,BOS,PIT
0,1.0,Steelers,John Mastrangelo fumble recovery in end zone (Joe Glamp kick),0,7
1,1.0,Steelers,Joe Glamp 30 yard field goal,0,10
2,2.0,Yanks,Joe Golding 14 yard rush (Frank Maznicki kick),7,10
3,4.0,Steelers,Steve Lach 1 yard rush (Joe Glamp kick),7,17
