,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Jets,Jim Turner 17 yard field goal,0,3
1,1.0,Dolphins,Paul Warfield 9 yard pass from Bob Griese (Garo Yepremian kick),7,3
2,2.0,Jets,Jim Turner 35 yard field goal,7,6
3,3.0,Dolphins,Garo Yepremian 37 yard field goal,10,6
4,4.0,Dolphins,Howard Twilley 3 yard pass from Bob Griese (Garo Yepremian kick),17,6
5,4.0,Dolphins,Garo Yepremian 11 yard field goal,20,6
